#X--Trace 1::[V(mcu1a)],Y--Trace 1::[V(mcu1a)],X--Trace 2::[V(va)-V(vb)],Y--Trace 2::[V(va)-V(vb)],X--Trace 3::[I(RA)],Y--Trace 3::[I(RA)]
6.75e-08,5,6.75e-08,0.0863804,6.75e-08,0.0137548
6.85e-08,5,6.85e-08,0.0874993,6.85e-08,0.013933
6.95e-08,5,6.95e-08,0.0885945,6.95e-08,0.0141074
7.05e-08,5,7.05e-08,0.0899289,7.05e-08,0.0143199
7.15e-08,5,7.15e-08,0.0920141,7.15e-08,0.0146519
7.25e-08,5,7.25e-08,0.0955862,7.25e-08,0.0152207
7.35e-08,5,7.35e-08,0.101125,7.35e-08,0.0161026
7.45e-08,5,7.45e-08,0.108364,7.45e-08,0.0172554
7.55e-08,5,7.55e-08,0.116581,7.55e-08,0.0185638
7.65e-08,5,7.65e-08,0.125257,7.65e-08,0.0199454
7.75e-08,5,7.75e-08,0.134485,7.75e-08,0.0214148
7.85e-08,5,7.85e-08,0.145193,7.85e-08,0.0231199
7.95e-08,5,7.95e-08,0.159033,7.95e-08,0.0253238
8.05e-08,5,8.05e-08,0.177192,8.05e-08,0.0282153
8.15e-08,5,8.15e-08,0.198875,8.15e-08,0.031668
8.25e-08,5,8.25e-08,0.221751,8.25e-08,0.0353107
8.35e-08,5,8.35e-08,0.24395,8.35e-08,0.0388455
8.45e-08,5,8.45e-08,0.266485,8.45e-08,0.0424338
8.55e-08,5,8.55e-08,0.297624,8.55e-08,0.0473924
8.65e-08,5,8.65e-08,0.34719,8.65e-08,0.055285
8.75e-08,5,8.75e-08,0.410821,8.75e-08,0.0654173
8.85e-08,5,8.85e-08,0.479444,8.85e-08,0.0763445
8.95e-08,5,8.95e-08,0.549034,8.95e-08,0.0874258
9.05e-08,5,9.05e-08,0.618336,9.05e-08,0.0984611
9.15e-08,5,9.15e-08,0.686768,9.15e-08,0.109358
9.25e-08,5,9.25e-08,0.753922,9.25e-08,0.120051
9.35e-08,5,9.35e-08,0.819471,9.35e-08,0.130489
9.45e-08,5,9.45e-08,0.883162,9.45e-08,0.140631
9.55e-08,5,9.55e-08,0.944812,9.55e-08,0.150448
9.65e-08,5,9.65e-08,1.00429,9.65e-08,0.159918
9.75e-08,5,9.75e-08,1.06149,9.75e-08,0.169028
9.85e-08,5,9.85e-08,1.11637,9.85e-08,0.177765
9.95e-08,5,9.95e-08,1.16888,9.95e-08,0.186128
1.005e-07,5,1.005e-07,1.21901,1.005e-07,0.194109
1.015e-07,5,1.015e-07,1.26674,1.015e-07,0.201711
1.025e-07,5,1.025e-07,1.31212,1.025e-07,0.208937
1.035e-07,5,1.035e-07,1.35519,1.035e-07,0.215795
1.045e-07,5,1.045e-07,1.396,1.045e-07,0.222293
1.055e-07,5,1.055e-07,1.43462,1.055e-07,0.228443
1.065e-07,5,1.065e-07,1.47114,1.065e-07,0.234258
1.075e-07,5,1.075e-07,1.50564,1.075e-07,0.239752
1.085e-07,5,1.085e-07,1.53823,1.085e-07,0.244942
1.095e-07,5,1.095e-07,1.56902,1.095e-07,0.249844
1.105e-07,5,1.105e-07,1.59812,1.105e-07,0.254478
1.115e-07,5,1.115e-07,1.62566,1.115e-07,0.258862
1.125e-07,5,1.125e-07,1.65174,1.125e-07,0.263017
1.135e-07,5,1.135e-07,1.67652,1.135e-07,0.266962
1.145e-07,5,1.145e-07,1.7001,1.145e-07,0.270717
1.155e-07,5,1.155e-07,1.72262,1.155e-07,0.274303
1.165e-07,5,1.165e-07,1.74421,1.165e-07,0.277741
1.175e-07,5,1.175e-07,1.76499,1.175e-07,0.281049
1.185e-07,5,1.185e-07,1.78508,1.185e-07,0.284249
1.195e-07,5,1.195e-07,1.80461,1.195e-07,0.287359
1.205e-07,5,1.205e-07,1.8237,1.205e-07,0.290398
1.215e-07,5,1.215e-07,1.84245,1.215e-07,0.293384
1.225e-07,5,1.225e-07,1.86098,1.225e-07,0.296335
1.235e-07,5,1.235e-07,1.8794,1.235e-07,0.299268
1.245e-07,5,1.245e-07,1.89781,1.245e-07,0.302199
1.255e-07,5,1.255e-07,1.9163,1.255e-07,0.305144
1.265e-07,5,1.265e-07,1.93497,1.265e-07,0.308117
1.275e-07,5,1.275e-07,1.95391,1.275e-07,0.311132
1.285e-07,5,1.285e-07,1.97319,1.285e-07,0.314203
1.295e-07,5,1.295e-07,1.9929,1.295e-07,0.31734
1.305e-07,5,1.305e-07,2.0131,1.305e-07,0.320557
1.315e-07,5,1.315e-07,2.03385,1.315e-07,0.323862
1.325e-07,5,1.325e-07,2.05522,1.325e-07,0.327265
1.335e-07,5,1.335e-07,2.07726,1.335e-07,0.330774
1.345e-07,5,1.345e-07,2.1,1.345e-07,0.334396
1.355e-07,5,1.355e-07,2.1235,1.355e-07,0.338136
1.365e-07,5,1.365e-07,2.14776,1.365e-07,0.342
1.375e-07,5,1.375e-07,2.17282,1.375e-07,0.345991
1.385e-07,5,1.385e-07,2.19869,1.385e-07,0.35011
1.395e-07,5,1.395e-07,2.22538,1.395e-07,0.35436
1.405e-07,5,1.405e-07,2.25288,1.405e-07,0.358739
1.415e-07,5,1.415e-07,2.28119,1.415e-07,0.363246
1.425e-07,5,1.425e-07,2.31028,1.425e-07,0.367879
1.435e-07,5,1.435e-07,2.34015,1.435e-07,0.372635
1.445e-07,5,1.445e-07,2.37075,1.445e-07,0.377508
1.455e-07,5,1.455e-07,2.40206,1.455e-07,0.382493
1.465e-07,5,1.465e-07,2.43403,1.465e-07,0.387584
1.475e-07,5,1.475e-07,2.46661,1.475e-07,0.392773
1.485e-07,5,1.485e-07,2.49977,1.485e-07,0.398053
1.495e-07,5,1.495e-07,2.53345,1.495e-07,0.403416
1.505e-07,5,1.505e-07,2.56759,1.505e-07,0.408852
1.515e-07,5,1.515e-07,2.60213,1.515e-07,0.414352
1.525e-07,5,1.525e-07,2.63702,1.525e-07,0.419908
1.535e-07,5,1.535e-07,2.6722,1.535e-07,0.425509
1.545e-07,5,1.545e-07,2.7076,1.545e-07,0.431146
1.555e-07,5,1.555e-07,2.74317,1.555e-07,0.43681
1.565e-07,5,1.565e-07,2.77885,1.565e-07,0.442491
1.575e-07,5,1.575e-07,2.81458,1.575e-07,0.448181
1.585e-07,5,1.585e-07,2.8503,1.585e-07,0.453869
1.595e-07,5,1.595e-07,2.88597,1.595e-07,0.459549
1.605e-07,5,1.605e-07,2.92153,1.605e-07,0.465212
1.615e-07,5,1.615e-07,2.95694,1.615e-07,0.47085
1.6245e-07,5,1.6245e-07,2.99039,1.6245e-07,0.476177
1.6345e-07,5,1.6345e-07,3.02538,1.6345e-07,0.481748
1.6445e-07,5,1.6445e-07,3.0601,1.6445e-07,0.487277
1.6545e-07,5,1.6545e-07,3.09453,1.6545e-07,0.492759
1.6645e-07,5,1.6645e-07,3.12862,1.6645e-07,0.498188
1.6745e-07,5,1.6745e-07,3.16236,1.6745e-07,0.503561
1.6845e-07,5,1.6845e-07,3.19574,1.6845e-07,0.508876
1.6945e-07,5,1.6945e-07,3.22873,1.6945e-07,0.514129
1.7045e-07,5,1.7045e-07,3.26132,1.7045e-07,0.519319
1.7145e-07,5,1.7145e-07,3.29352,1.7145e-07,0.524446
1.7245e-07,5,1.7245e-07,3.32531,1.7245e-07,0.529508
1.7345e-07,5,1.7345e-07,3.35669,1.7345e-07,0.534506
1.7445e-07,5,1.7445e-07,3.38768,1.7445e-07,0.53944
1.7545e-07,5,1.7545e-07,3.41828,1.7545e-07,0.544312
1.7645e-07,5,1.7645e-07,3.4485,1.7645e-07,0.549125
1.7745e-07,5,1.7745e-07,3.47836,1.7745e-07,0.553878
1.7845e-07,5,1.7845e-07,3.50786,1.7845e-07,0.558577
1.7945e-07,5,1.7945e-07,3.53704,1.7945e-07,0.563223
1.8045e-07,5,1.8045e-07,3.56591,1.8045e-07,0.56782
1.8145e-07,5,1.8145e-07,3.59449,1.8145e-07,0.572371
1.8245e-07,5,1.8245e-07,3.62281,1.8245e-07,0.576881
1.8345e-07,5,1.8345e-07,3.65089,1.8345e-07,0.581353
1.8445e-07,5,1.8445e-07,3.67877,1.8445e-07,0.585791
1.8545e-07,5,1.8545e-07,3.70646,1.8545e-07,0.590201
1.8645e-07,5,1.8645e-07,3.734,1.8645e-07,0.594585
1.8745e-07,5,1.8745e-07,3.7614,1.8745e-07,0.59895
1.8845e-07,5,1.8845e-07,3.78871,1.8845e-07,0.603298
1.8945e-07,5,1.8945e-07,3.81594,1.8945e-07,0.607634
1.9045e-07,5,1.9045e-07,3.84313,1.9045e-07,0.611964
1.9145e-07,5,1.9145e-07,3.8703,1.9145e-07,0.616289
1.9245e-07,5,1.9245e-07,3.89747,1.9245e-07,0.620616
1.9345e-07,5,1.9345e-07,3.92467,1.9345e-07,0.624947
1.9445e-07,5,1.9445e-07,3.95192,1.9445e-07,0.629286
1.9545e-07,5,1.9545e-07,3.97924,1.9545e-07,0.633636
1.9645e-07,5,1.9645e-07,4.00665,1.9645e-07,0.638001
1.9745e-07,5,1.9745e-07,4.03417,1.9745e-07,0.642384
1.9845e-07,5,1.9845e-07,4.06182,1.9845e-07,0.646786
1.9945e-07,5,1.9945e-07,4.0896,1.9945e-07,0.651211
2.0045e-07,5,2.0045e-07,4.11754,2.0045e-07,0.65566
2.0145e-07,5,2.0145e-07,4.14565,2.0145e-07,0.660135
2.0245e-07,5,2.0245e-07,4.17392,2.0245e-07,0.664637
2.0345e-07,5,2.0345e-07,4.20237,2.0345e-07,0.669168
2.0445e-07,5,2.0445e-07,4.23101,2.0445e-07,0.673728
2.0545e-07,5,2.0545e-07,4.25984,2.0545e-07,0.678318
2.0645e-07,5,2.0645e-07,4.28885,2.0645e-07,0.682938
2.0745e-07,5,2.0745e-07,4.31805,2.0745e-07,0.687587
2.0845e-07,5,2.0845e-07,4.34744,2.0845e-07,0.692267
2.0945e-07,5,2.0945e-07,4.377,2.0945e-07,0.696975
2.1045e-07,5,2.1045e-07,4.40675,2.1045e-07,0.701711
2.1145e-07,5,2.1145e-07,4.43666,2.1145e-07,0.706475
2.1245e-07,5,2.1245e-07,4.46674,2.1245e-07,0.711264
2.1345e-07,5,2.1345e-07,4.49697,2.1345e-07,0.716078
